[04/Apr/2016:00:54:21] (nt-request) Test message1
[04/Apr/2016:00:54:21] (nt-request) Test message2
[04/Apr/2016:00:54:21] (nt-request) Test message3
[04/Apr/2016:00:54:31] (nt-request) Test message1
[04/Apr/2016:00:54:31] (nt-request) Test message2
[04/Apr/2016:00:54:31] (nt-request) Test message3
[04/Apr/2016:00:54:54] (nt-request) Test message1
[04/Apr/2016:00:54:54] (nt-request) Test message2
[04/Apr/2016:00:54:54] (nt-request) Test message3
04/Apr/2016 01:09:06 | ::1 | nt-request | Test message1
04/Apr/2016 01:09:06 | ::1 | nt-request | Test message2
04/Apr/2016 01:09:06 | ::1 | nt-request | Test message3
04/Apr/2016 01:14:16 | ::1 | nt-request | GET
04/Apr/2016 01:14:41 | ::1 | nt-request | GET
04/Apr/2016 01:15:51 | ::1 | nt-request | GET
04/Apr/2016 01:15:51 | ::1 | nt-request | Array
04/Apr/2016 01:17:11 | ::1 | nt-request | GET
04/Apr/2016 01:17:11 | ::1 | nt-request | 
04/Apr/2016 01:18:44 | ::1 | nt-request | GET
04/Apr/2016 01:18:44 | ::1 | nt-request | 1
04/Apr/2016 01:19:51 | ::1 | nt-request | GET
04/Apr/2016 01:19:51 | ::1 | nt-request | 1
04/Apr/2016 01:20:57 | ::1 | nt-request | GET
04/Apr/2016 01:20:57 | ::1 | nt-request | i.ua2-q=any
04/Apr/2016 01:23:01 | ::1 | nt-request | GET
04/Apr/2016 01:23:01 | ::1 | nt-request | i.ua, 2, -q=any
04/Apr/2016 01:24:08 | ::1 | nt-request | GET
04/Apr/2016 01:24:08 | ::1 | nt-request | i.ua, 2, -q=any
04/Apr/2016 01:25:40 | ::1 | nt-request | GET
04/Apr/2016 01:25:40 | ::1 | nt-request | i.ua, 2, -q=any
04/Apr/2016 01:26:01 | ::1 | nt-request | GET
04/Apr/2016 01:26:01 | ::1 | nt-request | i.ua, 2, -q=any
04/Apr/2016 01:26:18 | ::1 | nt-request | GET
04/Apr/2016 01:26:18 | ::1 | nt-request | i.ua, 2, -q=any
04/Apr/2016 01:26:35 | ::1 | nt-request | GET
04/Apr/2016 01:26:35 | ::1 | nt-request | i.ua, 2, -q=any
04/Apr/2016 01:27:30 | ::1 | nt-request | GET
04/Apr/2016 01:27:30 | ::1 | nt-request | h=i.ua | c=2 | a=-q=any
04/Apr/2016 01:28:08 | ::1 | nt-request | GETh=i.ua c=2 a=-q=any
04/Apr/2016 01:28:30 | ::1 | nt-request | GET h=i.ua c=2 a=-q=any
04/Apr/2016 01:40:02 | ::1 | nt-request | GET h=i.ua c=2 a=-q=any
04/Apr/2016 01:40:08 | ::1 | nt-request | GET h= c=2 a=-q=any
04/Apr/2016 01:40:08 | ::1 | nt-request | ERROR: request without host
04/Apr/2016 01:40:26 | ::1 | nt-request | GET c=2 a=-q=any
04/Apr/2016 01:40:26 | ::1 | nt-request | ERROR: request without host
04/Apr/2016 01:40:39 | ::1 | nt-request | GET h=i.ua c=2 a=-q=any
04/Apr/2016 01:41:37 | ::1 | nt-request | GET h=i.ua c=2 a=-q=any
04/Apr/2016 01:42:42 | ::1 | nt-request | GET h= c=2 a=-q=any
04/Apr/2016 01:42:42 | ::1 | nt-request | ERROR: request without host
04/Apr/2016 01:42:56 | ::1 | nt-request | GET h= c=2 a=-q=any
04/Apr/2016 01:42:56 | ::1 | nt-request | ERROR: request without host
04/Apr/2016 01:43:36 | ::1 | nt-request | GET h= c=2 a=-q=any
04/Apr/2016 01:43:36 | ::1 | nt-request | ERROR: request without host
04/Apr/2016 01:43:47 | ::1 | nt-request | GET h= c=2 a=-q=any
04/Apr/2016 01:43:47 | ::1 | nt-request | ERROR: request without host
04/Apr/2016 01:44:18 | ::1 | nt-request | GET h= c=2 a=-q=any
04/Apr/2016 01:44:18 | ::1 | nt-request | ERROR: request without host
04/Apr/2016 01:44:23 | ::1 | nt-request | GET h= c=2 a=-q=any
04/Apr/2016 01:44:23 | ::1 | nt-request | ERROR: request without host
04/Apr/2016 01:44:36 | ::1 | nt-request | GET h= c=2 a=-q=any
04/Apr/2016 01:44:36 | ::1 | nt-request | ERROR: request without host
04/Apr/2016 01:45:43 | ::1 | nt-request | GET h= c=2 a=-q=any
04/Apr/2016 01:45:43 | ::1 | nt-request | ERROR: request without host
04/Apr/2016 01:45:55 | ::1 | nt-request | GET h= c=2 a=-q=any
04/Apr/2016 01:45:55 | ::1 | nt-request | ERROR: request without host
04/Apr/2016 01:46:17 | ::1 | nt-request | GET h= c=2 a=-q=any
04/Apr/2016 01:46:17 | ::1 | nt-request | ERROR: request without host
04/Apr/2016 01:46:30 | ::1 | nt-request | GET h= c=2 a=-q=any
04/Apr/2016 01:46:30 | ::1 | nt-request | ERROR: request without host
04/Apr/2016 01:46:33 | ::1 | nt-request | GET h= c=2 a=-q=any
04/Apr/2016 01:46:33 | ::1 | nt-request | ERROR: request without host
04/Apr/2016 01:47:04 | ::1 | nt-request | GET h= c=2 a=-q=any
04/Apr/2016 01:47:04 | ::1 | nt-request | ERROR: request without host
04/Apr/2016 01:47:58 | ::1 | nt-request | GET h= c=2 a=-q=any
04/Apr/2016 01:47:58 | ::1 | nt-request | ERROR: request without host
04/Apr/2016 01:48:01 | ::1 | nt-request | GET h= c=3 a=
04/Apr/2016 01:48:01 | ::1 | nt-request | ERROR: request without host
04/Apr/2016 01:51:13 | ::1 | nt-request | GET h=i.ua c=2 a=-q=any
04/Apr/2016 01:51:20 | ::1 | nt-request | GET h=i.ua c=2 a=-q=any
04/Apr/2016 01:51:22 | ::1 | nt-request | GET h=i.ua c=2 a=-q=any
04/Apr/2016 01:51:24 | ::1 | nt-request | GET h=i.ua c=2 a=-q=any
04/Apr/2016 01:51:26 | ::1 | nt-request | GET h=i.ua c=2 a=-q=any
04/Apr/2016 01:51:28 | ::1 | nt-request | GET h=i.ua c=2 a=-q=any
04/Apr/2016 01:51:42 | ::1 | nt-request | GET h=i.ua c=2 a=-q=any
04/Apr/2016 01:51:45 | ::1 | nt-request | GET h=i.ua c=2 a=-q=any
04/Apr/2016 01:53:10 | ::1 | nt-request | GET h=i.ua c=2 a=-q=any
04/Apr/2016 01:53:10 | ::1 | nt-request | SUCCESS
04/Apr/2016 01:57:32 | ::1 | nt-request | GET h=i.ua c=2 a=-q=any
04/Apr/2016 01:57:32 | ::1 | nt-request | SUCCESS
04/Apr/2016 02:05:33 | ::1 | nt-request | GET h=i.ua c=2 a=-q=any
04/Apr/2016 02:05:33 | ::1 | nt-request | SUCCESS
04/Apr/2016 02:05:35 | ::1 | nt-request | GET h=i.ua c=1 a=-m 15 -n
04/Apr/2016 02:05:35 | ::1 | nt-request | SUCCESS
04/Apr/2016 02:05:37 | ::1 | nt-request | GET h=i.ua c=0 a=-c 5 -s 32
04/Apr/2016 02:05:37 | ::1 | nt-request | SUCCESS
04/Apr/2016 02:05:40 | ::1 | nt-request | GET h=i.ua c=3 a=
04/Apr/2016 02:05:40 | ::1 | nt-request | SUCCESS
04/Apr/2016 02:05:44 | ::1 | nt-request | GET h=i.ua c=4 a=any
04/Apr/2016 02:05:44 | ::1 | nt-request | SUCCESS
